Usability review,,,,,,,,,,,,,,,,Enter score,0
,,,,,,,,,,,,,,,,Very poor,1
https://rutadelosvinosdegranada.com,,,Score,,,,,Comments,,,,,,,,Poor,2
,,,,,,,,,,,,,,,,Moderate,3
,"Hover over a guideline for more information, examples of good practice and importance to the overall user experience.",,N/A = not applicable or can't be assessed,,,,,"Optional - Provide a short rational for the score, such as a description of the issues found; examples of good practice and the likely impact for users.",,,,,,,,Good,4
,,,,,,,,,,,,,,,,Excellent,5
Features & functionality,,,,,,,,,,"Weighting 
(out of 5)",Weighting ratio,"Rating
(0 - 5)",Score,Out of,,N/A,0
,,,,,,,,,,,,,,,,,
1,Features and functionality meet common user goals and objectives.,,Poor,,#REF!,#REF!,,"Main functionalities: providing information on wine, region, and wine tours. Providing a shop to buy local wines.",,5,100%,2,2,5,,,
,,,,,,,,,,,,,,,,,
2,Features and functionality support users desired workflows.,,Good,,#REF!,#REF!,,Users can create a user profile to save their information. ,,5,100%,4,4,5,,,
,,,,,,,,,,,,,,,,,
3,Frequently-used tasks are readily available (e.g. easily accessible from the homepage) and well supported (e.g. short cuts are available).,,Moderate,,#REF!,#REF!,,"Main tasks can be carried out, but landing page is not straight-forward. There are too many options to click on and the website does not have a clear priority (buying wines or carrying out tours)",,4,80%,3,2.4,4,,,
,,,,,,,,,,,,,,,,,
4,"Users are adequately supported according to their level of expertise (e.g. short cuts for expert users, help and instructions for novice users).",,Moderate,,#REF!,#REF!,,There is a whatsapp chat that can be accessed in order to help customers. However there is no FAQ page or shortcuts to the most trivial parts of the website.,,3,60%,3,1.8,3,,,
,,,,,,,,,,,,,,,,,
5,"Call to actions (e.g. register, add to basket, submit) are clear, well labelled and appear clickable.",,Excellent,,#REF!,#REF!,,"Basket, login etc. are very clearly visible in the top bar of the website.",,3,60%,5,3,3,,,
,,,,,,,,,,,,,,,,,
Homepage / starting page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
